sys_sample_code,sample_date,chemical_name,cas_rn,result_value,result_unit,method_detection_limit,quantitation_limit,detection_limit_unit,analysis_date,Lab,lab_qualifiers,fraction,lab_sdg,sample_type_code,DEC_sample_type,qc_original_conc,qc_spike_added,qc_spike_measured,sample_source
16-TEN-8.6,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,0.2,0.2,mg/L,8/14/2018 8:50,Smith,"NJ, U",T,byhand,N,N,,,,
16-TEN-8.6,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1,mg/L,0.4,0.4,mg/L,8/20/2018 9:44,Smith,NJ,T,byhand,N,N,,,,
16-TEN-8.6,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.034,mg/L,0.02,0.02,mg/L,8/6/2018 14:41,Smith,NJ,T,byhand,N,N,,,,
16-TEN-8.6,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-TEN-8.6,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.24,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-TEN-8.6,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.32,mg/L,0.1,0.1,mg/L,9/7/2018 17:26,Smith,,T,byhand,N,N,,,,
16-TEN-8.6,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,0.05,0.05,mg/L,9/7/2018 17:26,Smith,U,T,byhand,N,N,,,,
16-TEN-8.6,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.022,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-TEN-8.6,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,,,,,Smith,"NJ,U",T,byhand,N,N,,,,
16-TEN-8.6,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,<0.40,mg/L,,,,,Smith,"NJ,U",T,byhand,N,N,,,,
16-TEN-8.6,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.37,mg/L,,,,,Smith,HT3,T,byhand,N,N,,,,
16-TEN-8.6,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,,,,,Smith,"HT3,U",T,byhand,N,N,,,,
16-TEN-8.6,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.033,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-WASS_T2-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,,,,,Smith,"NJ,U",T,byhand,N,N,,,,
16-WASS_T2-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.7,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
16-WASS_T2-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.42,mg/L,,,,,Smith,,T,byhand,N,N,,,,
16-WASS_T2-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,,,,,Smith,U,T,byhand,N,N,,,,
16-WASS_T2-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.056,mg/L,,,,,Smith,NJ,T,byhand,N,N,,,,
