"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.x","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","X.data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.y","SiteID","DEC_sample_type"
"07-KEUK-1.5-08012018-WS","E200.8","08/13/2018 15:31:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-43-9","Cadmium",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.064,0.064,1,"ug/l","ug/l",NA,0.064,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.8","08/13/2018 15:31:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-92-1","Lead",0.66,NA,"TRG","Yes","Y","J",NA,"J",NA,0.067,NA,1,"ug/l","ug/l",NA,0.067,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.7","08/14/2018 14:44:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-70-2","Calcium",40000,NA,"TRG","Yes","Y","",NA,"",NA,110,NA,1000,"ug/l","ug/l",NA,110,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.8","08/13/2018 15:31:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-50-8","Copper",2.8,NA,"TRG","Yes","Y","",NA,"",NA,0.66,NA,1,"ug/l","ug/l",NA,0.66,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E353.2","08/02/2018 14:39:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.032,NA,"TRG","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.8","08/13/2018 15:31:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7429-90-5","Aluminum",68.5,NA,"TRG","Yes","Y","",NA,"",NA,2.3,NA,10,"ug/l","ug/l",NA,2.3,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.8","08/13/2018 15:31:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-38-2","Arsenic",0.89,NA,"TRG","Yes","Y","J",NA,"J",NA,0.39,NA,1,"ug/l","ug/l",NA,0.39,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E300.0","08/13/2018 19:51:00","T",NA,"initial","WS","LB",NA,NA,10,"","",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","16887-00-6","CHLORIDE (AS CL)",46.8,NA,"TRG","Yes","Y","",NA,"",NA,0.2,NA,2,"mg/l","mg/l",NA,0.2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E353.2","08/23/2018 16:58:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.875,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.8","08/13/2018 15:31:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-66-6","Zinc",2.6,NA,"TRG","Yes","Y","J",NA,"J",NA,2.5,NA,5,"ug/l","ug/l",NA,2.5,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.7","08/14/2018 14:44:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-95-4","Magnesium",12200,NA,"TRG","Yes","Y","",NA,"",NA,29,NA,1000,"ug/l","ug/l",NA,29,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","D6919-09","08/15/2018 12:26:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0139,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","SM2340B","08/14/2018 14:44:00","T",NA,"initial","WS","LB",NA,NA,1,"","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,0,"mL",NA,NA,NA,NA,NA,"","HARD","HARDNESS (AS CACO3)",150,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,6.62,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E180.1","08/02/2018 14:10:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807213-013",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",1.58,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","Calculation","08/22/2018 12:41:00","T",NA,"initial","WS","LB",NA,NA,1,"","08/21/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,0,"mL",NA,NA,NA,NA,NA,"","KN","Nitrogen",1.38,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.1,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E351.2","08/22/2018 12:41:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/21/2018 13:46:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.51,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","SM 2320 B","08/07/2018 20:38:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807213-013",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",116,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.8","08/13/2018 15:31:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-22-4","Silver",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.039,0.039,1,"ug/l","ug/l",NA,0.039,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.7","08/14/2018 14:44:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-89-6","Iron",130,NA,"TRG","Yes","Y","",NA,"",NA,13,NA,100,"ug/l","ug/l",NA,13,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E365.1","08/18/2018 15:12:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","08/17/2018 14:04:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0216,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK-1.5-08012018-WS","E200.8","08/13/2018 15:31:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-013",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-02-0","Nickel",0.9,NA,"TRG","Yes","Y","J",NA,"J",NA,0.26,NA,1,"ug/l","ug/l",NA,0.26,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK-1.5-08012018-WS","WS","N","Field","","R1807213","08/01/2018 13:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK-1.5","N"
"07-KEUK_T3-1.0-08012018-WS","E200.8","08/13/2018 15:29:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-50-8","Copper",3.3,NA,"TRG","Yes","Y","",NA,"",NA,0.66,NA,1,"ug/l","ug/l",NA,0.66,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","D6919-09","08/15/2018 12:10:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0288,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E300.0","08/13/2018 19:46:00","T",NA,"initial","WS","LB",NA,NA,10,"","",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","16887-00-6","CHLORIDE (AS CL)",64.7,NA,"TRG","Yes","Y","",NA,"",NA,0.2,NA,2,"mg/l","mg/l",NA,0.2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","SM 2320 B","08/07/2018 20:32:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807213-012",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",284,NA,"TRG","Yes","Y","",NA,"",NA,1,NA,2,"mg/l","mg/l",NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E200.8","08/13/2018 15:29:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-43-9","Cadmium",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.064,0.064,1,"ug/l","ug/l",NA,0.064,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E200.8","08/13/2018 15:29:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-66-6","Zinc",8.5,NA,"TRG","Yes","Y","",NA,"",NA,2.5,NA,5,"ug/l","ug/l",NA,2.5,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E200.8","08/14/2018 18:02:00","T",NA,"initial","WS","LB",NA,NA,10,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7429-90-5","Aluminum",886,NA,"TRG","Yes","Y","",NA,"",NA,23,NA,100,"ug/l","ug/l",NA,23,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E365.1","08/18/2018 16:47:00","T",NA,"initial","WS","LB",NA,NA,5,"METHOD","08/17/2018 14:04:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.217,NA,"TRG","Yes","Y","",NA,"",NA,0.01,NA,0.025,"mg/l","mg/l",NA,0.01,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E200.8","08/13/2018 15:29:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-38-2","Arsenic",2.1,NA,"TRG","Yes","Y","",NA,"",NA,0.39,NA,1,"ug/l","ug/l",NA,0.39,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E200.8","08/13/2018 15:29:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-22-4","Silver",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.039,0.039,1,"ug/l","ug/l",NA,0.039,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E200.7","08/14/2018 14:41:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-95-4","Magnesium",27700,NA,"TRG","Yes","Y","",NA,"",NA,29,NA,1000,"ug/l","ug/l",NA,29,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
"07-KEUK_T3-1.0-08012018-WS","E200.7","08/14/2018 14:41:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/10/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807213-012",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-70-2","Calcium",114000,NA,"TRG","Yes","Y","",NA,"",NA,110,NA,1000,"ug/l","ug/l",NA,110,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807213","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","Field","","R1807213","08/01/2018 14:30:00","Unknown",NA,NA,NA,NA,NA,"08/02/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"07-KEUK_T3-1.0","N"
